Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,89.0,1.0,89.0,89.0,0.0,2699970.088000017,2699970.088000017,0.0,0.0,,,,,,,,,,,,,,,,554272.4925957465,818263.5861198687,2653293.1292882776,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,256.0,2.0,167.0,256.0,0.0,9337396.416000005,9337396.416000005,0.0,11.640572547912598,,,,,,,,,,,,,,,,3328783.075182905,2953675.427425758,8790279.922366833,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,414.0,3.0,158.0,414.0,0.0,6515927.757000006,6515927.757000006,0.0,22.652656078338623,,,,,,,,,,,,,,,,2195449.239266253,1853140.901692283,6175221.99919514,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,496.0,4.0,82.0,496.0,0.0,3523460.931000011,3523460.931000011,0.0,28.60434579849243,,,,,,,,,,,,,,,,1049544.3668820234,1129273.809455735,3440839.132047733,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,551.0,5.0,55.0,551.0,0.0,526494.2040000112,526494.2040000112,0.0,32.7347195148468,,,,,,,,,,,,,,,,104321.85554135137,131663.30543657808,521277.7797249606,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,620.0,6.0,69.0,620.0,0.0,715492.1180000115,715492.1180000115,0.0,37.909974575042725,,,,,,,,,,,,,,,,201007.42437083324,226038.38317817595,702324.9306490717,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,684.0,7.0,64.0,684.0,0.0,1444484.0130000084,1444484.0130000084,0.0,42.65107226371765,,,,,,,,,,,,,,,,285844.2818074247,390848.5123917089,1427617.5965608961,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,741.0,8.0,57.0,741.0,0.0,391495.70600000984,391495.70600000984,0.0,46.97603154182434,,,,,,,,,,,,,,,,82076.41408667035,99902.26171662254,387204.55495202186,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,860.0,9.0,119.0,860.0,0.0,4697947.918000011,4697947.918000011,0.0,55.41012525558472,,,,,,,,,,,,,,,,1558993.199423674,1531705.4099297347,4516944.671940534,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,940.0,10.0,80.0,940.0,0.0,1741480.7290000087,1741480.7290000087,0.0,61.230600118637085,,,,,,,,,,,,,,,,351292.77467988164,464059.00757913006,1715092.399425044,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,1072.0,11.0,132.0,1072.0,0.0,6016433.281000006,6016433.281000006,0.0,70.46996855735779,,,,,,,,,,,,,,,,2006272.5601098845,1922559.8397524445,5757362.665731236,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,1137.0,12.0,65.0,1137.0,0.0,2267974.864000012,2267974.864000012,0.0,75.21429204940796,,,,,,,,,,,,,,,,559925.2940941048,708172.801355628,2233813.533417311,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,1294.0,13.0,157.0,1294.0,0.0,8702903.456000008,8702903.456000008,0.0,86.28548741340637,,,,,,,,,,,,,,,,3417127.4226872283,2821029.560053484,8174589.039677798,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,1372.0,14.0,78.0,1372.0,0.0,1808979.9770000074,1808979.9770000074,0.0,91.97827935218811,,,,,,,,,,,,,,,,475701.2238746554,509748.0002336622,1773648.930468255,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,1425.0,15.0,53.0,1425.0,0.0,337496.3020000098,337496.3020000098,0.0,96.24979281425476,,,,,,,,,,,,,,,,78712.87831216658,91380.04120785769,333658.1776270923,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,1525.0,16.0,100.0,1525.0,0.0,2510972.1990000117,2510972.1990000117,0.0,103.4498438835144,,,,,,,,,,,,,,,,889078.1544006423,812946.4647069736,2424488.872432378,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,1687.0,17.0,162.0,1687.0,0.0,8189909.161000007,8189909.161000007,0.0,114.69384145736694,,,,,,,,,,,,,,,,2831616.464087984,2468401.4626353346,7738926.220037792,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,1763.0,18.0,76.0,1763.0,0.0,2456972.7750000115,2456972.7750000115,0.0,120.21935653686523,,,,,,,,,,,,,,,,617031.934115378,737136.4001067305,2412490.8388460875,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,1809.0,19.0,46.0,1809.0,0.0,485994.6450000101,485994.6450000101,0.0,123.75521278381348,,,,,,,,,,,,,,,,84191.74135652342,111894.47469960611,482604.42932693684,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,1864.0,20.0,55.0,1864.0,0.0,512994.35400001,512994.35400001,0.0,127.87838435173035,,,,,,,,,,,,,,,,88850.95275967992,122650.10318749411,508616.16776599357,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,222.0,1.0,222.0,2086.0,0.0,11807869.021000037,11807869.021000037,0.0,249.29552960395813,,,,,,,,,,,,,,,,4202569.267348869,3455919.756363807,10885784.428076636,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,463.0,2.0,241.0,2327.0,0.0,13463850.640000042,13463850.640000042,0.0,265.86521196365356,,,,,,,,,,,,,,,,4903859.157020307,3893645.5827110256,12294314.898056177,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,573.0,3.0,110.0,2437.0,0.0,4778947.009000013,4778947.009000013,0.0,273.6607699394226,,,,,,,,,,,,,,,,1422491.3098202492,1504832.078927081,4627100.06498477,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,666.0,4.0,93.0,2530.0,0.0,3023966.492000012,3023966.492000012,0.0,280.3457717895508,,,,,,,,,,,,,,,,686658.4766861242,922343.8184264743,2963070.3239921937,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,725.0,5.0,59.0,2589.0,0.0,485994.65800001007,485994.65800001007,0.0,284.9542615413666,,,,,,,,,,,,,,,,95174.02558810842,121833.36239044342,480860.2507410528,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,775.0,6.0,50.0,2639.0,0.0,377995.8490000099,377995.8490000099,0.0,289.2529716491699,,,,,,,,,,,,,,,,76611.52715207858,99371.72355305885,374539.812454861,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,817.0,7.0,42.0,2681.0,0.0,809991.0410000113,809991.0410000113,0.0,292.4861264228821,,,,,,,,,,,,,,,,135248.784859696,214816.7820911537,805115.7077436463,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,876.0,8.0,59.0,2740.0,0.0,472494.80800001003,472494.80800001003,0.0,296.8765218257904,,,,,,,,,,,,,,,,110586.73876323692,120764.62541328203,466436.6270400192,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,1026.0,9.0,150.0,2890.0,0.0,4976944.849000011,4976944.849000011,0.0,307.4084072113037,,,,,,,,,,,,,,,,1407616.434186997,1616058.9171205363,4770572.956828789,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,1082.0,10.0,56.0,2946.0,0.0,1268985.9550000087,1268985.9550000087,0.0,311.59536480903625,,,,,,,,,,,,,,,,255725.75803355142,352861.95663907484,1255921.233783915,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,1197.0,11.0,115.0,3061.0,0.0,5507938.914000009,5507938.914000009,0.0,319.74509859085083,,,,,,,,,,,,,,,,1780046.2633589634,1767565.0585773247,5308542.135849581,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,1259.0,12.0,62.0,3123.0,0.0,1849479.5110000088,1849479.5110000088,0.0,324.3419830799103,,,,,,,,,,,,,,,,408328.43534300313,559387.6468551479,1825989.1371458897,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,1328.0,13.0,69.0,3192.0,0.0,1106987.7680000088,1106987.7680000088,0.0,329.39227986335754,,,,,,,,,,,,,,,,232395.24678089877,310250.04337561,1092044.540512641,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,1391.0,14.0,63.0,3255.0,0.0,998988.9620000117,998988.9620000117,0.0,334.07054805755615,,,,,,,,,,,,,,,,191244.6533260648,251044.4551533114,987928.4773177858,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,1431.0,15.0,40.0,3295.0,0.0,296996.7390000098,296996.7390000098,0.0,337.3369903564453,,,,,,,,,,,,,,,,64033.28716392805,78809.3445628111,294730.13765110396,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,1489.0,16.0,58.0,3353.0,0.0,485994.6570000101,485994.6570000101,0.0,341.9322557449341,,,,,,,,,,,,,,,,91118.70333036016,122863.49502989484,481190.96317001915,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,1617.0,17.0,128.0,3481.0,0.0,7069421.577000009,7069421.577000009,0.0,350.9660475254059,,,,,,,,,,,,,,,,2547120.312913424,2256868.787932886,6750140.317264355,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,1718.0,18.0,101.0,3582.0,0.0,3901456.750000012,3901456.750000012,0.0,358.19633650779724,,,,,,,,,,,,,,,,1018902.5586748691,1233647.2575042176,3802349.9415153638,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,1762.0,19.0,44.0,3626.0,0.0,350996.1430000099,350996.1430000099,0.0,361.62254881858826,,,,,,,,,,,,,,,,69143.17396439203,86746.13871526616,348302.14549106784,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,2080.0,20.0,318.0,3944.0,0.0,15443828.70700002,15443828.70700002,0.0,383.38846039772034,,,,,,,,,,,,,,,,6619984.102421676,4638588.7169110095,13352025.788218135,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,149.0,1.0,149.0,4093.0,0.0,6115432.1980000185,6115432.1980000185,0.0,506.58886885643005,,,,,,,,,,,,,,,,1673541.7625439714,1946921.0803381556,5871946.421802764,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,277.0,2.0,128.0,4221.0,0.0,5359440.577000019,5359440.577000019,0.0,515.702000617981,,,,,,,,,,,,,,,,1483093.8415747266,1682467.201834075,5174779.344623066,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,409.0,3.0,132.0,4353.0,0.0,6016433.281000017,6016433.281000017,0.0,525.026522397995,,,,,,,,,,,,,,,,1911168.2371234964,1840971.7639242,5769929.002702408,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,514.0,4.0,105.0,4458.0,0.0,4954445.054000008,4954445.054000008,0.0,532.5461013317108,,,,,,,,,,,,,,,,1543590.317557289,1604332.0186940702,4797165.235892387,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,564.0,5.0,50.0,4508.0,0.0,458994.94900001003,458994.94900001003,0.0,536.32231092453,,,,,,,,,,,,,,,,94530.77147994986,120786.8740221612,454723.13355957204,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,632.0,6.0,68.0,4576.0,0.0,620993.167000012,620993.167000012,0.0,541.319390296936,,,,,,,,,,,,,,,,132537.20295307148,155468.3256756908,612593.2304296307,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,721.0,7.0,89.0,4665.0,0.0,1822479.8380000077,1822479.8380000077,0.0,547.9205214977264,,,,,,,,,,,,,,,,406085.89638728916,484414.96033234714,1788126.3195410823,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,920.0,8.0,199.0,4864.0,0.0,3590960.29800002,3590960.29800002,0.0,561.7379629611969,,,,,,,,,,,,,,,,1171309.0564508461,860385.5584890101,3361231.026793085,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,1022.0,9.0,102.0,4966.0,0.0,2308474.4510000143,2308474.4510000143,0.0,568.9943270683289,,,,,,,,,,,,,,,,417764.31925417134,613491.3801108376,2268130.6210571425,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,1105.0,10.0,83.0,5049.0,0.0,1484983.5820000079,1484983.5820000079,0.0,574.99853682518,,,,,,,,,,,,,,,,267128.92245812743,371307.5875864189,1464276.1575935793,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,1223.0,11.0,118.0,5167.0,0.0,6232430.867000004,6232430.867000004,0.0,583.4821090698242,,,,,,,,,,,,,,,,2265184.799348928,1981805.4859116364,5971110.170847685,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,1305.0,12.0,82.0,5249.0,0.0,2848468.4310000115,2848468.4310000115,0.0,589.4967124462128,,,,,,,,,,,,,,,,685660.5367739658,873229.6808478279,2795039.3062908356,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,1450.0,13.0,145.0,5394.0,0.0,5813935.544000007,5813935.544000007,0.0,599.63538646698,,,,,,,,,,,,,,,,2356679.558075545,1809387.9494707824,5477694.702781843,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,1526.0,14.0,76.0,5470.0,0.0,3239964.07500001,3239964.07500001,0.0,605.1400053501129,,,,,,,,,,,,,,,,938535.884933813,1045756.0719024871,3171807.1548999404,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,1592.0,15.0,66.0,5536.0,0.0,1201486.7150000085,1201486.7150000085,0.0,610.1061944961548,,,,,,,,,,,,,,,,423774.25594337756,428786.1272506474,1174692.3064141616,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,1738.0,16.0,146.0,5682.0,0.0,4193953.5450000097,4193953.5450000097,0.0,620.3109087944031,,,,,,,,,,,,,,,,1524343.8142112016,1273314.0755381556,3975374.722848025,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,1891.0,17.0,153.0,5835.0,0.0,9188898.052000005,9188898.052000005,0.0,631.2701966762543,,,,,,,,,,,,,,,,3529095.1951298737,2855952.1558340476,8657604.091236372,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,1995.0,18.0,104.0,5939.0,0.0,4346951.803000011,4346951.803000011,0.0,638.6602621078491,,,,,,,,,,,,,,,,1257246.2044042794,1385509.9363092452,4220418.616358325,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,2041.0,19.0,46.0,5985.0,0.0,512994.34500001004,512994.34500001004,0.0,642.1887340545654,,,,,,,,,,,,,,,,83365.31243198807,118329.35659788825,509669.20983797644,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,2162.0,20.0,121.0,6106.0,0.0,1160987.2170000055,1160987.2170000055,0.0,650.7614958286285,,,,,,,,,,,,,,,,192173.3478291942,293251.7804365711,1138873.1150277052,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,274.0,1.0,274.0,6380.0,0.0,16649815.273000002,16649815.273000002,0.0,786.2097322940826,,,,,,,,,,,,,,,,6803272.186334521,4707969.727354558,14800519.213157512,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,490.0,2.0,216.0,6596.0,0.0,11537872.015000017,11537872.015000017,0.0,801.1920156478882,,,,,,,,,,,,,,,,3928054.4542080825,3519421.625805999,10700112.36525632,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,624.0,3.0,134.0,6730.0,0.0,7204420.083000014,7204420.083000014,0.0,810.6203558444977,,,,,,,,,,,,,,,,2518797.713110293,2293142.636055032,6873774.964407635,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,749.0,4.0,125.0,6855.0,0.0,5719436.574000009,5719436.574000009,0.0,819.4792394638062,,,,,,,,,,,,,,,,1742020.0593397047,1807395.1927951335,5507191.257840386,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,797.0,5.0,48.0,6903.0,0.0,539994.047000011,539994.047000011,0.0,823.3840045928955,,,,,,,,,,,,,,,,81575.69738862972,127222.14982729887,536615.0285539096,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,859.0,6.0,62.0,6965.0,0.0,607493.3110000114,607493.3110000114,0.0,827.9869401454926,,,,,,,,,,,,,,,,143848.3510254642,170435.74643386892,599173.8871235548,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,912.0,7.0,53.0,7018.0,0.0,985489.1020000114,985489.1020000114,0.0,831.9505746364594,,,,,,,,,,,,,,,,167215.63831225477,260579.7849861845,977604.2774469077,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,1098.0,8.0,186.0,7204.0,0.0,2591971.385000011,2591971.385000011,0.0,844.9191663265228,,,,,,,,,,,,,,,,1141679.4599003263,687592.2043249313,2382001.006465017,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
